insert into exercises (exercise_id, name, notes, primary_muscle_tag, secondary_muscle_tag, category, created_at, update_at) values ('d8f3b313-d952-4c0b-993a-d3496eb56aaf', 'in libero ut', null, 'chest', null, 'time', '1669186422', '1669334400'),
('d2286c12-7e9e-4936-b0b4-28a3d150704f', 'nec condimentum neque', 'pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus', 'quadriceps', null, 'weights_and_reps', '1669184308', '1669334400'),
('568be6be-ec81-45e3-b313-eb9a1cb5b982', 'vivamus vestibulum', null, 'triceps', null, 'time', '1669169232', '1669334400'),
('f7ed68f1-51d9-4b71-bb78-08b738b580ac', 'mauris', 'primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel', 'triceps', null, 'reps', '1669167199', '1669334400'),
('075a4b5c-a59d-4b8d-813d-ea4642f67170', 'lorem ipsum dolor', 'ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci', 'biceps', null, 'time', '1669187737', '1669334400'),
('0ba75dbe-f454-4eac-b6be-baf92ea5f771', 'in', 'sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut', 'calves', null, 'reps', '1669196102', '1669334400'),
('4241c148-a810-41b9-993f-5a4dd1ce5be4', 'parturient montes', 'erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae', 'back', null, 'reps', '1669170621', '1669334400'),
('95fc2c6c-37e5-4257-acdb-388891bb9f03', 'etiam faucibus cursus', null, 'shoulders', null, 'weights_and_reps', '1669173641', '1669334400'),
('9300980c-5e3e-441f-b689-ef02fa975119', 'convallis eget eleifend luctus', null, 'lats', null, 'time', '1669198699', '1669334400'),
('11dac367-85e6-4c63-9181-dae6753593de', 'curabitur in libero ut', null, 'calves', null, 'distance_and_time', '1669212880', '1669334400'),
('31b27107-ebb0-4263-b8d7-45f5036ce26c', 'nisi eu orci', null, 'hamstrings', null, 'distance_and_time', '1669186251', '1669334400'),
('05f3ec3f-da7d-48f2-a73b-041a4abd0fb1', 'maecenas rhoncus aliquam', null, 'glutes', null, 'reps', '1669203715', '1669334400'),
